다아, 69, 189
다타, 65, 186
바사, 72, 191
나자, 47, 145
타아, 56, 143
카카, 53, 161
라마, 93, 189
라다, 49, 152
바바, 80, 166
하라, 65, 169
자마, 97, 190
하사, 50, 194
카카, 47, 151
가차, 65, 149
파하, 76, 150
라다, 93, 141
카라, 68, 191
카사, 48, 179
자파, 43, 178
라타, 79, 189
자타, 58, 184
차바, 73, 183
바자, 94, 163
아사, 88, 143
하나, 96, 159
카사, 56, 155
하하, 98, 185
타사, 89, 196
자파, 71, 197
차마, 49, 143
카차, 95, 160
다가, 88, 157
타타, 47, 185
가파, 78, 196
라마, 73, 179
라카, 91, 187
타차, 62, 161
아가, 84, 147
아라, 92, 173
나타, 78, 153
가사, 86, 199
나사, 83, 185
다차, 82, 181
아자, 42, 184
아다, 43, 191
아하, 88, 143
라라, 50, 146
가다, 53, 181
나나, 56, 144
타타, 65, 142
자사, 70, 168
바타, 69, 173
라차, 77, 194
마사, 49, 192
라하, 66, 144
차마, 65, 194
마하, 85, 146
라라, 43, 164
마가, 57, 190
마가, 99, 141
하자, 58, 154
사가, 81, 145
라마, 81, 181
타카, 41, 194
나하, 77, 162
바카, 97, 168
가타, 89, 151
나가, 84, 179
하바, 94, 191
자다, 50, 197
타가, 83, 187
가타, 60, 172
사다, 64, 164
타아, 52, 153
다차, 93, 176
자마, 44, 180
아카, 87, 148
사차, 94, 177
자나, 81, 159
다하, 47, 177
차라, 43, 165
파아, 67, 185
바하, 45, 144
가아, 66, 141
차다, 70, 146
타나, 58, 180
카나, 75, 176
하다, 48, 188
자차, 49, 150
바타, 76, 164
타타, 46, 181
하아, 93, 160
나카, 98, 196
파아, 98, 193
마라, 87, 189
파바, 54, 142
가라, 72, 147
자나, 48, 170
카가, 87, 170
바자, 70, 153
아가, 97, 182
하자, 77, 156
가차, 73, 173
하파, 46, 184
다가, 99, 177
타라, 69, 184
가나, 54, 163
바나, 80, 159
나마, 59, 196
하타, 68, 199
차라, 60, 145
다바, 78, 189
카차, 49, 199
라타, 67, 145
나바, 78, 153
바마, 49, 182
나아, 99, 188
가라, 98, 173
다아, 87, 178
하카, 42, 193
자아, 62, 140
나아, 43, 167
사다, 52, 167
다라, 57, 156
라마, 65, 197
사마, 61, 141
타마, 55, 194
자다, 43, 182
사나, 86, 162
나다, 90, 179
아바, 53, 189
카자, 55, 165
가아, 93, 161
가마, 71, 178
가파, 44, 162
가카, 56, 189
차아, 76, 179
타하, 58, 174
사바, 60, 150
다타, 51, 161
아파, 65, 179
사라, 88, 171
타나, 73, 153
다나, 55, 145
가차, 90, 193
마하, 70, 154
바사, 84, 142
차마, 70, 162
타바, 97, 185
타나, 72, 158
하차, 87, 150
바마, 54, 165
사가, 40, 157
나자, 86, 188
타하, 46, 192
파마, 80, 167
아자, 57, 187
파카, 75, 183
하가, 71, 183
카마, 51, 145
나파, 71, 179
카카, 53, 173
나바, 79, 185
다사, 72, 142
사바, 66, 151
파차, 67, 193
라파, 83, 187
차카, 45, 168
바가, 58, 167
가아, 92, 185
차마, 91, 152
파아, 71, 180
타자, 94, 195
다아, 49, 153
하카, 58, 164
가가, 65, 196
나파, 80, 197
파타, 76, 155
다하, 97, 188
파라, 93, 170
하다, 66, 159
마자, 94, 164
사사, 76, 185
파카, 70, 147
자차, 89, 148
가자, 87, 143
가자, 67, 164
사라, 41, 147
나라, 82, 164
마마, 73, 187
다차, 70, 199
차파, 75, 163
카바, 62, 166
마나, 67, 154
하사, 40, 158
자가, 80, 163
파하, 85, 182
카아, 66, 156
아다, 84, 171
차파, 78, 162
마가, 44, 165
